"geographicAreaM49","measuredElement","measuredItemCPC","fbsDistribParam","timePointYears","Value"
"106",51,"558","mu",2009,92000
"106",51,"56","mu",2009,7877700
"106",51,"560","mu",2009,8242500
"106",51,"569","mu",2009,12106
"106",51,"619","mu",2009,66000
"106",51,"71","mu",2009,11700
"106",51,"75","mu",2009,315100
"106",51,"754","mu",2009,300
"106",51,"83","mu",2009,243400
"106",51,"866","mu",2009,2600000
"106",51,"882","mu",2009,10560292
"106",51,"951","mu",2009,174875
"106",51,"976","mu",2009,5350000
"106",51,"982","mu",2009,440668
"106",61,"101","mu",2009,5931
"106",61,"1016","mu",2009,12048
"106",61,"1034","mu",2009,729395
"106",61,"1057","mu",2009,6616
"106",61,"1062","mu",2009,23446
"106",61,"1079","mu",2009,2899
"106",61,"108","mu",2009,47406
"106",61,"1096","mu",2009,46333
"106",61,"1140","mu",2009,21
"106",61,"116","mu",2009,598157
"106",61,"1163","mu",2009,2983
"106",61,"1166","mu",2009,1866
"106",61,"1168","mu",2009,25970
"106",61,"1182","mu",2009,15171
"106",61,"119","mu",2009,32692
"106",61,"122","mu",2009,13445
"106",61,"1275","mu",2009,72651
"106",61,"129","mu",2009,688
"106",61,"149","mu",2009,2074
"106",61,"15","mu",2009,6479094
"106",61,"156","mu",2009,48
"106",61,"157","mu",2009,921
"106",61,"162","mu",2009,32387
"106",61,"176","mu",2009,96003
"106",61,"181","mu",2009,55618
"106",61,"187","mu",2009,106145
"106",61,"191","mu",2009,22589
"106",61,"201","mu",2009,29957
"106",61,"211","mu",2009,1319
"106",61,"221","mu",2009,1426
"106",61,"222","mu",2009,23399
"106",61,"223","mu",2009,10282
"106",61,"225","mu",2009,4111
"106",61,"229","mu",2009,1037
"106",61,"230","mu",2009,3825
"106",61,"234","mu",2009,13474
"106",61,"236","mu",2009,1368041
"106",61,"242","mu",2009,16140
"106",61,"249","mu",2009,6179
"106",61,"256","mu",2009,0
"106",61,"257","mu",2009,970051
"106",61,"260","mu",2009,8041
"106",61,"265","mu",2009,0
"106",61,"267","mu",2009,356170
"106",61,"27","mu",2009,39463
"106",61,"270","mu",2009,93316
"106",61,"280","mu",2009,0
"106",61,"289","mu",2009,5602
"106",61,"292","mu",2009,384
"106",61,"293","mu",2009,0
"106",61,"333","mu",2009,19721
"106",61,"336","mu",2009,2337
"106",61,"339","mu",2009,8053
"106",61,"358","mu",2009,18607
"106",61,"366","mu",2009,19901
